market,rank,code,name,minute_trade_date,minute_rows,five_minute_rows,daily_trade_date,daily_rows,status,error
KOSPI,1,005930,삼성전자,2026-04-30,392,84,2026-04-30,1,ok,
KOSPI,2,000660,SK하이닉스,2026-04-30,391,83,2026-04-30,1,ok,
KOSPI,3,005935,삼성전자우,2026-04-30,403,86,2026-04-30,1,ok,
KOSPI,4,402340,SK스퀘어,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,5,005380,현대차,2026-04-30,392,86,2026-04-30,1,ok,
KOSPI,6,373220,LG에너지솔루션,2026-04-30,388,83,2026-04-30,1,ok,
KOSPI,7,034020,두산에너빌리티,2026-04-30,389,83,2026-04-30,1,ok,
KOSPI,8,012450,한화에어로스페이스,2026-04-30,391,84,2026-04-30,1,ok,
KOSPI,9,329180,HD현대중공업,2026-04-30,386,82,2026-04-30,1,ok,
KOSPI,10,207940,삼성바이오로직스,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,11,009150,삼성전기,2026-04-30,387,83,2026-04-30,1,ok,
KOSPI,12,105560,KB금융,2026-04-30,385,81,2026-04-30,1,ok,
KOSPI,13,000270,기아,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,14,006400,삼성SDI,2026-04-30,391,83,2026-04-30,1,ok,
KOSPI,15,032830,삼성생명,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,16,028260,삼성물산,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,17,055550,신한지주,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,18,267260,HD현대일렉트릭,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,19,068270,셀트리온,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,20,010120,LS ELECTRIC,2026-04-30,390,82,2026-04-30,1,ok,
KOSPI,21,042660,한화오션,2026-04-30,389,83,2026-04-30,1,ok,
KOSPI,22,012330,현대모비스,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,23,005490,POSCO홀딩스,2026-04-30,386,82,2026-04-30,1,ok,
KOSPI,24,298040,효성중공업,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,25,006800,미래에셋증권,2026-04-30,386,81,2026-04-30,1,ok,
KOSPI,26,086790,하나금융지주,2026-04-30,381,78,2026-04-30,1,ok,
KOSPI,27,042700,한미반도체,2026-04-30,387,82,2026-04-30,1,ok,
KOSPI,28,035420,NAVER,2026-04-30,388,82,2026-04-30,1,ok,
KOSPI,29,010130,고려아연,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,30,009540,HD한국조선해양,2026-04-30,385,81,2026-04-30,1,ok,
KOSPI,31,034730,SK,2026-04-30,381,78,2026-04-30,1,ok,
KOSPI,32,064350,현대로템,2026-04-30,387,83,2026-04-30,1,ok,
KOSPI,33,010140,삼성중공업,2026-04-30,394,83,2026-04-30,1,ok,
KOSPI,34,051910,LG화학,2026-04-30,385,81,2026-04-30,1,ok,
KOSPI,35,015760,한국전력,2026-04-30,381,78,2026-04-30,1,ok,
KOSPI,36,000150,두산,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,37,096770,SK이노베이션,2026-04-30,387,82,2026-04-30,1,ok,
KOSPI,38,267250,HD현대,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,39,316140,우리금융지주,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,40,066570,LG전자,2026-04-30,386,82,2026-04-30,1,ok,
KOSPI,41,003670,포스코퓨처엠,2026-04-30,384,80,2026-04-30,1,ok,
KOSPI,42,272210,한화시스템,2026-04-30,385,81,2026-04-30,1,ok,
KOSPI,43,035720,카카오,2026-04-30,390,83,2026-04-30,1,ok,
KOSPI,44,079550,LIG디펜스앤에어로스페이스,2026-04-30,385,81,2026-04-30,1,ok,
KOSPI,45,000810,삼성화재,2026-04-30,381,79,2026-04-30,1,ok,
KOSPI,46,033780,KT&G,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,47,017670,SK텔레콤,2026-04-30,387,83,2026-04-30,1,ok,
KOSPI,48,011200,HMM,2026-04-30,386,81,2026-04-30,1,ok,
KOSPI,49,138040,메리츠금융지주,2026-04-30,383,79,2026-04-30,1,ok,
KOSPI,50,024110,기업은행,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,51,000720,현대건설,2026-04-30,391,84,2026-04-30,1,ok,
KOSPI,52,086280,현대글로비스,2026-04-30,384,81,2026-04-30,1,ok,
KOSPI,53,047810,한국항공우주,2026-04-30,387,82,2026-04-30,1,ok,
KOSPI,54,278470,에이피알,2026-04-30,384,80,2026-04-30,1,ok,
KOSPI,55,047050,포스코인터내셔널,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,56,030200,KT,2026-04-30,384,80,2026-04-30,1,ok,
KOSPI,57,003550,LG,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,58,010950,S-Oil,2026-04-30,388,84,2026-04-30,1,ok,
KOSPI,59,047040,대우건설,2026-04-30,410,86,2026-04-30,1,ok,
KOSPI,60,006260,LS,2026-04-30,389,83,2026-04-30,1,ok,
KOSPI,61,011070,LG이노텍,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,62,071050,한국금융지주,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,63,018260,삼성에스디에스,2026-04-30,386,82,2026-04-30,1,ok,
KOSPI,64,259960,크래프톤,2026-04-30,385,82,2026-04-30,1,ok,
KOSPI,65,307950,현대오토에버,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,66,005940,NH투자증권,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,67,443060,HD현대마린솔루션,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,68,323410,카카오뱅크,2026-04-30,383,80,2026-04-30,1,ok,
KOSPI,69,352820,하이브,2026-04-30,385,80,2026-04-30,1,ok,
KOSPI,70,007660,이수페타시스,2026-04-30,387,83,2026-04-30,1,ok,
KOSPI,71,005830,DB손해보험,2026-04-30,382,79,2026-04-30,1,ok,
KOSPI,72,001440,대한전선,2026-04-30,406,86,2026-04-30,1,ok,
KOSPI,73,039490,키움증권,2026-04-30,381,78,2026-04-30,1,ok,
