market,rank,code,name,trade_date,datetime,open,high,low,close,volume
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 08:30:00,226000.0,226000.0,226000.0,226000.0,360.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 08:40:00,226000.0,226000.0,226000.0,226000.0,3.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:00:00,228500.0,228500.0,228500.0,228500.0,1359877.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:05:00,228500.0,229500.0,228500.0,229500.0,1102918.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:10:00,230000.0,230000.0,228250.0,229000.0,695980.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:15:00,229000.0,229000.0,227500.0,227750.0,300895.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:20:00,227500.0,229000.0,227500.0,228750.0,431146.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:25:00,228250.0,228250.0,228000.0,228000.0,284767.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:30:00,228250.0,229000.0,228250.0,228500.0,309957.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:35:00,228750.0,229000.0,228500.0,228500.0,184948.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:40:00,228500.0,229000.0,228500.0,228500.0,252663.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:45:00,228500.0,228750.0,228000.0,228000.0,190435.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:50:00,228000.0,228000.0,227000.0,227250.0,293688.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 09:55:00,227250.0,227250.0,225500.0,225500.0,438703.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 10:00:00,226250.0,226500.0,226000.0,226000.0,250527.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 10:05:00,226500.0,226500.0,225500.0,225500.0,311190.0
KOSPI,1,005930,삼성전자,2026-04-30,2026-04-30 10:10:00,225250.0,225750.0,225250.0,225750.0,205303.0
