market,rank,code,name,trade_date,open,high,low,close,volume,foreign_ownership_ratio
KOSPI,1,005930,삼성전자,2026-04-30,229000,230000,220500,220500,20519819,49.27
KOSPI,2,000660,SK하이닉스,2026-04-30,1312000,1325000,1286000,1286000,3227541,52.92
KOSPI,3,005935,삼성전자우,2026-04-30,165000,167300,158300,158300,4466311,78.01
KOSPI,4,402340,SK스퀘어,2026-04-30,845000,877000,840000,841000,569005,49.9
KOSPI,5,005380,현대차,2026-04-30,556000,560000,531000,531000,1150241,27.52
KOSPI,6,373220,LG에너지솔루션,2026-04-30,471000,471500,457000,460500,483228,5.11
KOSPI,7,034020,두산에너빌리티,2026-04-30,129800,129900,126000,127100,3380571,25.53
KOSPI,8,012450,한화에어로스페이스,2026-04-30,1416000,1458000,1379000,1417000,236243,45.34
KOSPI,9,329180,HD현대중공업,2026-04-30,0,685000,685000,685000,27,13.84
KOSPI,10,207940,삼성바이오로직스,2026-04-30,1474000,1484000,1470000,1470000,44392,12.32
KOSPI,11,009150,삼성전기,2026-04-30,829000,877000,818000,832000,905254,39.13
KOSPI,12,105560,KB금융,2026-04-30,162200,163900,159400,160500,1396269,75.72
KOSPI,13,000270,기아,2026-04-30,155400,157400,151700,151800,1185702,38.37
KOSPI,14,006400,삼성SDI,2026-04-30,721000,723000,692000,695000,851227,25.83
KOSPI,15,032830,삼성생명,2026-04-30,249500,252500,246500,249500,247037,23.43
KOSPI,16,028260,삼성물산,2026-04-30,305500,307500,296000,298500,451057,30.96
KOSPI,17,055550,신한지주,2026-04-30,99000,101000,99000,99900,1518212,61.37
KOSPI,18,267260,HD현대일렉트릭,2026-04-30,1254000,1281000,1251000,1252000,152813,36.61
KOSPI,19,068270,셀트리온,2026-04-30,203500,204000,200000,200500,468819,24.25
KOSPI,20,010120,LS ELECTRIC,2026-04-30,278000,283500,274500,278000,1162813,20.16
KOSPI,21,042660,한화오션,2026-04-30,132400,132900,130500,131800,1166948,11.07
KOSPI,22,012330,현대모비스,2026-04-30,438500,443000,425000,425000,317288,43.24
KOSPI,23,005490,POSCO홀딩스,2026-04-30,471500,471500,455500,462000,568870,30.94
KOSPI,24,298040,효성중공업,2026-04-30,3990000,4018000,3894000,3912000,54058,27.99
KOSPI,25,006800,미래에셋증권,2026-04-30,67800,68600,64700,64800,2433634,9.2
KOSPI,26,086790,하나금융지주,2026-04-30,124500,128500,124500,127900,949529,68.2
KOSPI,27,042700,한미반도체,2026-04-30,367000,392500,361500,368000,2575384,7.33
KOSPI,28,035420,NAVER,2026-04-30,0,211000,211000,211000,307,37.46
KOSPI,29,010130,고려아연,2026-04-30,1587000,1605000,1537000,1579000,123969,28.5
KOSPI,30,009540,HD한국조선해양,2026-04-30,467000,477000,461500,461500,161199,33.8
KOSPI,31,034730,SK,2026-04-30,428500,438500,420500,425000,230762,29.3
KOSPI,32,064350,현대로템,2026-04-30,261500,282000,261000,268500,1479575,35.49
KOSPI,33,010140,삼성중공업,2026-04-30,33350,33400,32200,32350,4422860,32.47
KOSPI,34,051910,LG화학,2026-04-30,407500,407500,392000,397000,283039,36.65
KOSPI,35,015760,한국전력,2026-04-30,43950,44500,43550,43550,2510970,21.64
