market,rank,code,name
KOSPI,1,005930,삼성전자
KOSPI,2,000660,SK하이닉스
KOSPI,3,005935,삼성전자우
KOSPI,4,402340,SK스퀘어
KOSPI,5,005380,현대차
KOSPI,6,373220,LG에너지솔루션
KOSPI,7,034020,두산에너빌리티
KOSPI,8,012450,한화에어로스페이스
KOSPI,9,329180,HD현대중공업
KOSPI,10,207940,삼성바이오로직스
KOSPI,11,009150,삼성전기
KOSPI,12,105560,KB금융
KOSPI,13,000270,기아
KOSPI,14,006400,삼성SDI
KOSPI,15,032830,삼성생명
KOSPI,16,028260,삼성물산
KOSPI,17,055550,신한지주
KOSPI,18,267260,HD현대일렉트릭
KOSPI,19,068270,셀트리온
KOSPI,20,010120,LS ELECTRIC
KOSPI,21,042660,한화오션
KOSPI,22,012330,현대모비스
KOSPI,23,005490,POSCO홀딩스
KOSPI,24,298040,효성중공업
KOSPI,25,006800,미래에셋증권
KOSPI,26,086790,하나금융지주
KOSPI,27,042700,한미반도체
KOSPI,28,035420,NAVER
KOSPI,29,010130,고려아연
KOSPI,30,009540,HD한국조선해양
KOSPI,31,034730,SK
KOSPI,32,064350,현대로템
KOSPI,33,010140,삼성중공업
KOSPI,34,051910,LG화학
KOSPI,35,015760,한국전력
KOSPI,36,000150,두산
KOSPI,37,096770,SK이노베이션
KOSPI,38,267250,HD현대
KOSPI,39,316140,우리금융지주
KOSPI,40,066570,LG전자
KOSPI,41,003670,포스코퓨처엠
KOSPI,42,272210,한화시스템
KOSPI,43,035720,카카오
KOSPI,44,079550,LIG디펜스앤에어로스페이스
KOSPI,45,000810,삼성화재
KOSPI,46,033780,KT&G
KOSPI,47,017670,SK텔레콤
KOSPI,48,011200,HMM
KOSPI,49,138040,메리츠금융지주
KOSPI,50,024110,기업은행
KOSPI,51,000720,현대건설
KOSPI,52,086280,현대글로비스
KOSPI,53,047810,한국항공우주
KOSPI,54,278470,에이피알
KOSPI,55,047050,포스코인터내셔널
KOSPI,56,030200,KT
KOSPI,57,003550,LG
KOSPI,58,010950,S-Oil
KOSPI,59,047040,대우건설
KOSPI,60,006260,LS
KOSPI,61,011070,LG이노텍
KOSPI,62,071050,한국금융지주
KOSPI,63,018260,삼성에스디에스
KOSPI,64,259960,크래프톤
KOSPI,65,307950,현대오토에버
KOSPI,66,005940,NH투자증권
KOSPI,67,443060,HD현대마린솔루션
KOSPI,68,323410,카카오뱅크
KOSPI,69,352820,하이브
KOSPI,70,007660,이수페타시스
KOSPI,71,005830,DB손해보험
KOSPI,72,001440,대한전선
KOSPI,73,039490,키움증권
